mmsi_id,imo,call_sign,vessel_name,vessel_type,length,width,TempId,Id_len,StartDigit
367800388,,,,60.0,45.0,10.0,367800388,9,3
366777720,,,,60.0,49.0,16.0,366777720,9,3
353740800,,,,70.0,289.0,45.0,353740800,9,3
367510344,,,,31.0,18.0,6.0,367510344,9,3
366070040,,,,30.0,80.0,16.0,366070040,9,3
316198004,,,,30.0,24.0,6.0,316198004,9,3
366893908,,,,60.0,41.0,12.0,366893908,9,3
338600067,,,,52.0,22.0,8.0,338600067,9,3
367923033,,,,54.0,51.0,12.0,367923033,9,3
357000943,,,,74.0,285.0,40.0,357000943,9,3
351300030,,,,70.0,278.0,45.0,351300030,9,3
367364920,,,,80.0,183.0,32.0,367364920,9,3
316225001,,,,60.0,96.0,22.0,316225001,9,3
367670600,,,,33.0,34.0,16.0,367670600,9,3
367730760,,,,30.0,25.0,12.0,367730760,9,3
305090095,,,,70.0,185.0,30.0,305090095,9,3
367805455,,,,80.0,183.0,32.0,367805455,9,3
367021030,,,,60.0,36.0,20.0,367021030,9,3
367580244,,,,37.0,18.0,6.0,367580244,9,3
367094380,,,,30.0,28.0,6.0,367094380,9,3
316663060,,,,32.0,24.0,8.0,316663060,9,3
366893203,,,,52.0,32.0,11.0,366893203,9,3
636670102,,,,71.0,275.0,40.0,636670102,9,6
367801060,,,,52.0,0.0,0.0,367801060,9,3
368275000,,,,0.0,53.0,70.0,368275000,9,3
353004902,,,,79.0,289.0,45.0,353004902,9,3
366571903,,,,0.0,0.0,0.0,366571903,9,3
366678103,,,,30.0,61.0,13.0,366678103,9,3
477030508,,,,80.0,183.0,22.0,477030508,9,4
367234089,,,,37.0,18.0,5.0,367234089,9,3
367000547,,,,80.0,189.0,32.0,367000547,9,3
303080072,,,,52.0,40.0,10.0,303080072,9,3
477906630,,,,70.0,200.0,32.0,477906630,9,4
367048031,,,,31.0,8.0,8.0,367048031,9,3
316006586,,,,30.0,28.0,8.0,316006586,9,3
354000466,,,,70.0,181.0,32.0,354000466,9,3
303040010,,,,99.0,61.0,12.0,303040010,9,3
354890800,,,,70.0,180.0,28.0,354890800,9,3
316110804,,,,60.0,160.0,28.0,316110804,9,3
316667003,,,,52.0,30.0,9.0,316667003,9,3
367530573,,,,37.0,31.0,6.0,367530573,9,3
372390700,,,,70.0,171.0,27.0,372390700,9,3
366049061,,,,90.0,19.0,4.0,366049061,9,3
338609030,,,,7.0,73.0,12.0,338609030,9,3
477930041,,,,70.0,179.0,29.0,477930041,9,4
548000679,,,,70.0,189.0,32.0,548000679,9,5
366808020,,,,70.0,292.0,38.0,366808020,9,3
367127020,,,,52.0,21.0,10.0,367127020,9,3
366205938,,,,60.0,24.0,8.0,366205938,9,3
366779206,,,,60.0,100.0,24.0,366779206,9,3
369000970,,,,80.0,270.0,42.0,369000970,9,3
316300656,,,,71.0,112.0,20.0,316300656,9,3
365049067,,,,0.0,0.0,0.0,365049067,9,3
355504090,,,,70.0,190.0,31.0,355504090,9,3
366812940,,,,90.0,75.0,3.0,366812940,9,3
477004860,,,,79.0,175.0,30.0,477004860,9,4
366077908,,,,60.0,134.0,26.0,366077908,9,3
366060119,,,,31.0,32.0,9.0,366060119,9,3
316104170,,,,60.0,160.0,28.0,316104170,9,3
367039502,,,,52.0,24.0,12.0,367039502,9,3
367605187,,,,52.0,24.0,12.0,367605187,9,3
336134000,,,,30.0,54.0,12.0,336134000,9,3
367834092,,,,52.0,29.0,8.0,367834092,9,3
366798607,,,,32.0,30.0,11.0,366798607,9,3
477907300,,,,82.0,137.0,24.0,477907300,9,4
366776730,,,,52.0,24.0,7.0,366776730,9,3
366320189,,,,31.0,31.0,12.0,366320189,9,3
316006355,,,,71.0,0.0,0.0,316006355,9,3
367341000,,,,69.0,124.0,22.0,367341000,9,3
477008025,,,,70.0,199.0,30.0,477008025,9,4
366506952,,,,30.0,26.0,8.0,366506952,9,3
366118013,,,,52.0,30.0,10.0,366118013,9,3
366892507,,,,60.0,28.0,11.0,366892507,9,3
366002590,,,,60.0,38.0,12.0,366002590,9,3
367600863,,,,52.0,13.0,6.0,367600863,9,3
366080087,,,,70.0,55.0,10.0,366080087,9,3
366930869,,,,6.0,30.0,70.0,366930869,9,3
367072814,,,,50.0,23.0,5.0,367072814,9,3
366802797,,,,60.0,100.0,24.0,366802797,9,3
316020655,,,,52.0,15.0,6.0,316020655,9,3
316105151,,,,35.0,33.0,8.0,316105151,9,3
356000532,,,,99.0,56.0,12.0,356000532,9,3
258010079,,,,70.0,169.0,26.0,258010079,9,2
366589013,,,,60.0,43.0,11.0,366589013,9,3
211763064,,,,79.0,321.0,42.0,211763064,9,2
366908967,,,,31.0,32.0,10.0,366908967,9,3
218600100,,,,74.0,300.0,42.0,218600100,9,2
366403707,,,,60.0,100.0,24.0,366403707,9,3
218000130,,,,71.0,334.0,42.0,218000130,9,2
316410126,,,,60.0,34.0,12.0,316410126,9,3
316005332,,,,52.0,32.0,10.0,316005332,9,3
367020970,,,,31.0,40.0,10.0,367020970,9,3
367006103,,,,60.0,26.0,8.0,367006103,9,3
316500200,,,,51.0,0.0,0.0,316500200,9,3
367028039,,,,52.0,32.0,10.0,367028039,9,3
538825800,,,,70.0,189.0,32.0,538825800,9,5
356005307,,,,70.0,154.0,26.0,356005307,9,3
367095806,,,,0.0,0.0,0.0,367095806,9,3
354947000,,,,70.0,175.0,29.0,354947000,9,3
366721800,,,,60.0,100.0,24.0,366721800,9,3
367006108,,,,70.0,292.0,53.0,367006108,9,3
316821091,,,,50.0,20.0,6.0,316821091,9,3
636801039,,,,70.0,186.0,28.0,636801039,9,6
319109080,,,,37.0,49.0,10.0,319109080,9,3
477286900,,,,70.0,169.0,27.0,477286900,9,4
367936607,,,,52.0,29.0,10.0,367936607,9,3
636910490,,,,70.0,188.0,32.0,636910490,9,6
367740072,,,,31.0,34.0,12.0,367740072,9,3
367037039,,,,32.0,13.0,23.0,367037039,9,3
259005808,,,,70.0,198.0,31.0,259005808,9,2
366970388,,,,52.0,36.0,13.0,366970388,9,3
367306000,,,,31.0,20.0,8.0,367306000,9,3
367017400,,,,52.0,28.0,8.0,367017400,9,3
316215070,,,,52.0,17.0,7.0,316215070,9,3
477000688,,,,71.0,197.0,32.0,477000688,9,4
316872005,,,,31.0,22.0,9.0,316872005,9,3
368000307,,,,1.0,92.0,14.0,368000307,9,3
367179700,,,,0.0,19.0,8.0,367179700,9,3
357545000,,,,70.0,224.0,32.0,357545000,9,3
367157290,,,,0.0,25.0,8.0,367157290,9,3
367065803,,,,30.0,36.0,8.0,367065803,9,3
369506070,,,,31.0,179.0,23.0,369506070,9,3
316611101,,,,35.0,33.0,8.0,316611101,9,3
367313500,,,,52.0,24.0,12.0,367313500,9,3
366898303,,,,60.0,33.0,10.0,366898303,9,3
303020009,,,,35.0,129.0,27.0,303020009,9,3
316491061,,,,60.0,34.0,12.0,316491061,9,3
353060089,,,,70.0,154.0,26.0,353060089,9,3
367603138,,,,31.0,0.0,0.0,367603138,9,3
366068998,,,,52.0,31.0,9.0,366068998,9,3
366076795,,,,60.0,28.0,10.0,366076795,9,3
338883708,,,,37.0,0.0,0.0,338883708,9,3
366888008,,,,52.0,30.0,12.0,366888008,9,3
367300893,,,,30.0,88.0,23.0,367300893,9,3
367707133,,,,31.0,21.0,7.0,367707133,9,3
366099772,,,,60.0,116.0,22.0,366099772,9,3
338060950,,,,31.0,28.0,11.0,338060950,9,3
351000613,,,,70.0,170.0,28.0,351000613,9,3
366801798,,,,60.0,57.0,14.0,366801798,9,3
303866000,,,,89.0,206.0,23.0,303866000,9,3
316050214,,,,69.0,130.0,24.0,316050214,9,3
366908949,,,,52.0,30.0,9.0,366908949,9,3
316651500,,,,52.0,15.0,8.0,316651500,9,3
369604020,,,,32.0,31.0,10.0,369604020,9,3
338333304,,,,52.0,18.0,5.0,338333304,9,3
367375030,,,,80.0,188.0,31.0,367375030,9,3
367608000,,,,55.0,125.0,12.0,367608000,9,3
369090059,,,,99.0,60.0,14.0,369090059,9,3
235258006,,,,71.0,280.0,39.0,235258006,9,2
366635790,,,,0.0,0.0,0.0,366635790,9,3
316500816,,,,52.0,22.0,7.0,316500816,9,3
303007200,,,,0.0,46.0,10.0,303007200,9,3
316100322,,,,52.0,41.0,10.0,316100322,9,3
366092470,,,,32.0,29.0,8.0,366092470,9,3
636300099,,,,71.0,208.0,30.0,636300099,9,6
367104030,,,,31.0,30.0,12.0,367104030,9,3
366074674,,,,52.0,34.0,12.0,366074674,9,3
366377030,,,,60.0,116.0,22.0,366377030,9,3
368600000,,,,79.0,220.0,29.0,368600000,9,3
316050610,,,,51.0,64.0,13.0,316050610,9,3
366071299,,,,60.0,105.0,15.0,366071299,9,3
368299000,,,,79.0,0.0,0.0,368299000,9,3
355602040,,,,70.0,189.0,32.0,355602040,9,3
564000019,,,,70.0,184.0,27.0,564000019,9,5
366708918,,,,60.0,29.0,10.0,366708918,9,3
316754100,,,,52.0,16.0,6.0,316754100,9,3
316766003,,,,52.0,22.0,9.0,316766003,9,3
366100709,,,,30.0,22.0,11.0,366100709,9,3
354440500,,,,70.0,191.0,31.0,354440500,9,3
212419000,,,,70.0,229.0,32.0,212419000,9,2
256000163,,,,70.0,225.0,32.0,256000163,9,2
316611000,,,,51.0,58.0,10.0,316611000,9,3
367007707,,,,0.0,34.0,8.0,367007707,9,3
366928320,,,,52.0,0.0,0.0,366928320,9,3
316141103,,,,35.0,33.0,8.0,316141103,9,3
538006256,,,,90.0,158.0,28.0,538006256,9,5
538060921,,,,73.0,292.0,40.0,538060921,9,5
563725000,,,,70.0,225.0,32.0,563725000,9,5
367910661,,,,31.0,36.0,10.0,367910661,9,3
366505977,,,,60.0,27.0,10.0,366505977,9,3
256930100,,,,70.0,229.0,32.0,256930100,9,2
366020579,,,,52.0,15.0,6.0,366020579,9,3
351000190,,,,70.0,225.0,32.0,351000190,9,3
368002100,,,,71.0,224.0,31.0,368002100,9,3
367693017,,,,52.0,29.0,10.0,367693017,9,3
366969026,,,,0.0,25.0,9.0,366969026,9,3
366500727,,,,52.0,42.0,12.0,366500727,9,3
372503000,,,,81.0,146.0,24.0,372503000,9,3
369000910,,,,99.0,82.0,14.0,369000910,9,3
367903062,,,,31.0,46.0,26.0,367903062,9,3
316928003,,,,0.0,113.0,20.0,316928003,9,3
413030071,,,,71.0,335.0,43.0,413030071,9,4
367021346,,,,35.0,20.0,8.0,367021346,9,3
338804060,,,,70.0,290.0,32.0,338804060,9,3
316011187,,,,37.0,23.0,6.0,316011187,9,3
316641005,,,,52.0,0.0,0.0,316641005,9,3
356050033,,,,70.0,289.0,45.0,356050033,9,3
538007279,,,,79.0,190.0,32.0,538007279,9,5
338659000,,,,0.0,230.0,32.0,338659000,9,3
316892400,,,,52.0,12.0,6.0,316892400,9,3
368080030,,,,0.0,87.0,14.0,368080030,9,3
368400080,,,,30.0,46.0,13.0,368400080,9,3
367073015,,,,97.0,0.0,0.0,367073015,9,3
316753200,,,,52.0,18.0,8.0,316753200,9,3
316046006,,,,79.0,72.0,15.0,316046006,9,3
259706050,,,,32.0,0.0,0.0,259706050,9,2
368608040,,,,70.0,276.0,40.0,368608040,9,3
369000064,,,,0.0,89.0,14.0,369000064,9,3
367096337,,,,80.0,184.0,22.0,367096337,9,3
368040300,,,,31.0,38.0,8.0,368040300,9,3
316100832,,,,60.0,85.0,18.0,316100832,9,3
351103020,,,,79.0,180.0,28.0,351103020,9,3
355080090,,,,70.0,154.0,26.0,355080090,9,3
368392000,,,,30.0,124.0,20.0,368392000,9,3
355000014,,,,0.0,229.0,32.0,355000014,9,3
367213409,,,,54.0,38.0,9.0,367213409,9,3
316006562,,,,52.0,15.0,6.0,316006562,9,3
306008205,,,,60.0,40.0,10.0,306008205,9,3
366015367,,,,0.0,32.0,10.0,366015367,9,3
316756030,,,,31.0,18.0,7.0,316756030,9,3
338810006,,,,31.0,29.0,9.0,338810006,9,3
316005974,,,,60.0,60.0,16.0,316005974,9,3
367724076,,,,37.0,24.0,12.0,367724076,9,3
353000082,,,,70.0,185.0,31.0,353000082,9,3
366208977,,,,52.0,35.0,11.0,366208977,9,3
316215300,,,,60.0,52.0,13.0,316215300,9,3
366559010,,,,37.0,20.0,6.0,366559010,9,3
303050039,,,,90.0,71.0,12.0,303050039,9,3
352006000,,,,70.0,269.0,43.0,352006000,9,3
338600016,,,,31.0,23.0,9.0,338600016,9,3
366767051,,,,52.0,51.0,16.0,366767051,9,3
366306972,,,,32.0,18.0,9.0,366306972,9,3
412800000,,,,70.0,225.0,32.0,412800000,9,4
367310040,,,,60.0,25.0,8.0,367310040,9,3
378111641,,,,37.0,38.0,8.0,378111641,9,3
367870800,,,,31.0,35.0,12.0,367870800,9,3
303000301,,,,80.0,273.0,46.0,303000301,9,3
563004605,,,,89.0,176.0,30.0,563004605,9,5
338690006,,,,31.0,28.0,11.0,338690006,9,3
354497000,,,,70.0,197.0,32.0,354497000,9,3
367024835,,,,37.0,27.0,12.0,367024835,9,3
356005010,,,,70.0,189.0,31.0,356005010,9,3
368005505,,,,30.0,0.0,0.0,368005505,9,3
367530005,,,,60.0,42.0,11.0,367530005,9,3
564761000,,,,70.0,200.0,32.0,564761000,9,5
366320800,,,,80.0,264.0,44.0,366320800,9,3
316300944,,,,30.0,17.0,7.0,316300944,9,3
477100290,,,,70.0,167.0,26.0,477100290,9,4
538790029,,,,80.0,229.0,32.0,538790029,9,5
210006306,,,,70.0,223.0,32.0,210006306,9,2
247812003,,,,90.0,225.0,32.0,247812003,9,2
512000712,,,,37.0,28.0,8.0,512000712,9,5
249000691,,,,66.0,92.0,18.0,249000691,9,2
316658400,,,,52.0,15.0,7.0,316658400,9,3
366200928,,,,31.0,23.0,8.0,366200928,9,3
371161000,,,,70.0,183.0,30.0,371161000,9,3
366958200,,,,31.0,33.0,10.0,366958200,9,3
538238400,,,,70.0,190.0,32.0,538238400,9,5
316002155,,,,60.0,130.0,24.0,316002155,9,3
367146250,,,,30.0,30.0,8.0,367146250,9,3
303000098,,,,90.0,0.0,0.0,303000098,9,3
353070600,,,,70.0,199.0,32.0,353070600,9,3
316975001,,,,30.0,23.0,7.0,316975001,9,3
256040034,,,,70.0,225.0,32.0,256040034,9,2
477152000,,,,70.0,225.0,32.0,477152000,9,4
303340600,,,,54.0,69.0,19.0,303340600,9,3
367911107,,,,37.0,42.0,9.0,367911107,9,3
367302905,,,,52.0,23.0,8.0,367302905,9,3
316030711,,,,32.0,24.0,8.0,316030711,9,3
367710333,,,,50.0,23.0,7.0,367710333,9,3
303460300,,,,0.0,34.0,10.0,303460300,9,3
316080433,,,,52.0,33.0,10.0,316080433,9,3
303603090,,,,37.0,0.0,0.0,303603090,9,3
248000700,,,,70.0,289.0,45.0,248000700,9,2
366998803,,,,52.0,30.0,9.0,366998803,9,3
357410200,,,,70.0,173.0,29.0,357410200,9,3
316007561,,,,31.0,18.0,7.0,316007561,9,3
316337910,,,,52.0,31.0,12.0,316337910,9,3
636371019,,,,70.0,289.0,32.0,636371019,9,6
366069969,,,,35.0,26.0,6.0,366069969,9,3
366973920,,,,32.0,34.0,10.0,366973920,9,3
351001101,,,,70.0,288.0,45.0,351001101,9,3
316900400,,,,51.0,50.0,12.0,316900400,9,3
355002904,,,,70.0,190.0,32.0,355002904,9,3
316050559,,,,52.0,25.0,5.0,316050559,9,3
265002040,,,,70.0,199.0,32.0,265002040,9,2
316008944,,,,52.0,13.0,7.0,316008944,9,3
366671704,,,,31.0,47.0,14.0,366671704,9,3
366882304,,,,52.0,42.0,10.0,366882304,9,3
338040001,,,,30.0,15.0,9.0,338040001,9,3
316573060,,,,31.0,20.0,6.0,316573060,9,3
248000220,,,,70.0,190.0,32.0,248000220,9,2
369714790,,,,90.0,64.0,14.0,369714790,9,3
316423001,,,,60.0,80.0,20.0,316423001,9,3
367018313,,,,30.0,13.0,4.0,367018313,9,3
316004579,,,,52.0,0.0,0.0,316004579,9,3
538661003,,,,70.0,292.0,45.0,538661003,9,5
367381570,,,,37.0,33.0,8.0,367381570,9,3
319240100,,,,97.0,68.0,12.0,319240100,9,3
316905002,,,,52.0,21.0,4.0,316905002,9,3
477565300,,,,70.0,190.0,32.0,477565300,9,4
316060633,,,,32.0,24.0,8.0,316060633,9,3
316554900,,,,32.0,27.0,9.0,316554900,9,3
316683104,,,,31.0,15.0,6.0,316683104,9,3
316212600,,,,60.0,140.0,29.0,316212600,9,3
316009001,,,,51.0,26.0,8.0,316009001,9,3
413020003,,,,70.0,225.0,32.0,413020003,9,4
636199900,,,,70.0,303.0,40.0,636199900,9,6
354030068,,,,70.0,183.0,31.0,354030068,9,3
366591004,,,,0.0,30.0,8.0,366591004,9,3
351050033,,,,70.0,190.0,32.0,351050033,9,3
367370931,,,,50.0,16.0,4.0,367370931,9,3
367000604,,,,30.0,48.0,10.0,367000604,9,3
564947000,,,,70.0,229.0,37.0,564947000,9,5
366098206,,,,60.0,36.0,10.0,366098206,9,3
316185070,,,,52.0,17.0,7.0,316185070,9,3
367031039,,,,32.0,13.0,10.0,367031039,9,3
316040215,,,,60.0,139.0,27.0,316040215,9,3
316599104,,,,52.0,28.0,14.0,316599104,9,3
212020072,,,,70.0,190.0,32.0,212020072,9,2
354000370,,,,70.0,190.0,32.0,354000370,9,3
316020754,,,,52.0,15.0,5.0,316020754,9,3
366791509,,,,52.0,0.0,0.0,366791509,9,3
477030044,,,,70.0,178.0,28.0,477030044,9,4
316275070,,,,52.0,17.0,7.0,316275070,9,3
368105060,,,,99.0,30.0,8.0,368105060,9,3
316401104,,,,53.0,0.0,0.0,316401104,9,3
316500717,,,,52.0,18.0,7.0,316500717,9,3
366491005,,,,31.0,15.0,6.0,366491005,9,3
477040015,,,,70.0,176.0,29.0,477040015,9,4
316759200,,,,52.0,18.0,7.0,316759200,9,3
316584005,,,,52.0,15.0,6.0,316584005,9,3
538742020,,,,83.0,228.0,32.0,538742020,9,5
316681000,,,,31.0,30.0,11.0,316681000,9,3
316020072,,,,32.0,35.0,8.0,316020072,9,3
316060639,,,,32.0,20.0,7.0,316060639,9,3
303030086,,,,70.0,61.0,12.0,303030086,9,3
316661020,,,,69.0,88.0,20.0,316661020,9,3
316100340,,,,52.0,44.0,10.0,316100340,9,3
316060576,,,,37.0,11.0,4.0,316060576,9,3
538829003,,,,70.0,169.0,27.0,538829003,9,5
368201090,,,,70.0,72.0,12.0,368201090,9,3
351620500,,,,70.0,0.0,0.0,351620500,9,3
366896670,,,,30.0,90.0,30.0,366896670,9,3
366120239,,,,32.0,35.0,10.0,366120239,9,3
338020072,,,,32.0,30.0,8.0,338020072,9,3
303060056,,,,80.0,287.0,50.0,303060056,9,3
356750100,,,,70.0,200.0,32.0,356750100,9,3
316030216,,,,60.0,0.0,0.0,316030216,9,3
367000073,,,,80.0,181.0,32.0,367000073,9,3
367640306,,,,60.0,0.0,0.0,367640306,9,3
238090071,,,,70.0,183.0,32.0,238090071,9,2
316924001,,,,60.0,139.0,29.0,316924001,9,3
367246106,,,,31.0,22.0,8.0,367246106,9,3
233000127,,,,90.0,40.0,6.0,233000127,9,2
352709020,,,,70.0,151.0,26.0,352709020,9,3
548070031,,,,70.0,200.0,32.0,548070031,9,5
366880889,,,,60.0,9.0,8.0,366880889,9,3
354000172,,,,71.0,0.0,0.0,354000172,9,3
371040070,,,,70.0,177.0,28.0,371040070,9,3
366230670,,,,0.0,9.0,16.0,366230670,9,3
351716000,,,,70.0,169.0,27.0,351716000,9,3
366201996,,,,69.0,0.0,0.0,366201996,9,3
352035000,,,,80.0,148.0,24.0,352035000,9,3
366886620,,,,52.0,0.0,0.0,366886620,9,3
366020069,,,,83.0,190.0,32.0,366020069,9,3
257563000,,,,80.0,189.0,28.0,257563000,9,2
477040480,,,,70.0,225.0,32.0,477040480,9,4
368080045,,,,0.0,20.0,10.0,368080045,9,3
366840188,,,,60.0,31.0,10.0,366840188,9,3
367180270,,,,60.0,30.0,7.0,367180270,9,3
367011902,,,,32.0,40.0,9.0,367011902,9,3
316421020,,,,60.0,66.0,19.0,316421020,9,3
367102208,,,,38.0,26.0,6.0,367102208,9,3
367551087,,,,60.0,26.0,10.0,367551087,9,3
366439013,,,,32.0,37.0,10.0,366439013,9,3
367503001,,,,0.0,27.0,8.0,367503001,9,3
367800060,,,,69.0,45.0,14.0,367800060,9,3
235895600,,,,70.0,183.0,32.0,235895600,9,2
367960800,,,,60.0,89.0,23.0,367960800,9,3
366025993,,,,52.0,21.0,7.0,366025993,9,3
